,year,gdp,pc_gdp,gnp,pi,si,industry,cons_industry,ti,trans_industry,lbdy
0,2016,744127.0,,,63671.0,296236.0,,,384221.0,,
1,2015,689052.0,49992.0,,60862.0,282040.0,236506.0,46627.0,346150.0,30488.0,78341.0
2,2014,643974.0,47203.0,,58343.5,277571.8,233856.4,44880.5,308058.6,28500.9,73582.0
3,2013,588018.8,43320.1,,55321.7,256810.0,210689.42,38995.0,275887.0,27282.93,67165.91
4,2012,534123.0,38459.47,,50892.7,240200.4,199670.66,35491.34,243030.0,24660.0,59858.62
5,2011,484123.5,35197.79,,46153.3,223390.3,188470.15,31942.66,214579.9,22432.84,52618.05
6,2010,401202.0,29992.0,403260.0,40533.6,187581.42,160867.01,26714.41,173087.0,18968.48,43814.55
7,2009,340902.8,25608.0,341401.5,35226.0,157638.8,135239.9,22398.8,148038.0,16727.1,36102.7
8,2008,314045.4,23708.0,315274.7,33702.0,149003.4,130260.2,18743.2,131340.0,16362.5,32798.4
9,2007,265810.3,20169.0,266411.0,28627.0,125831.4,110534.9,15296.5,111351.9,14601.0,26485.9
10,2006,216314.43,16499.7,215904.41,24040.0,103719.54,91310.94,12408.6,88554.88,12182.98,21323.31
11,2005,184937.37,14185.36,183617.37,22420.0,87598.09,77230.78,10367.32,74919.28,10666.16,18161.89
12,2004,159878.34,12335.58,159453.6,21412.73,73904.31,65210.03,8694.28,64561.29,9304.39,16118.65
13,2003,135822.76,10541.97,134976.97,17381.72,62436.31,54945.53,7490.78,56004.73,7913.19,14295.53
14,2002,120332.69,9398.05,119095.69,16537.02,53896.77,47431.31,6465.46,49898.9,7492.95,12720.1
15,2001,109655.17,8621.71,108068.22,15781.27,49512.29,43580.62,5931.67,44361.61,6870.25,11519.54
16,2000,99214.55,7857.68,98000.45,14944.72,45555.88,40033.59,5522.29,38713.95,6160.95,10304.85
17,1999,89677.1,7159.0,88479.2,14770.0,41033.6,35861.5,5172.1,33873.4,5175.2,9432.3
18,1998,84402.3,6796.0,83024.3,14817.6,39004.2,34018.4,4985.8,30580.5,4660.9,8700.1
19,1997,78973.0,6420.0,78060.8,14441.9,37543.0,32921.4,4621.6,26988.1,4148.6,7888.7
20,1996,71176.6,5846.0,70142.5,14015.4,33835.0,29447.6,4387.4,23326.2,3782.2,6936.5
21,1995,60793.7,5046.0,59810.5,12135.8,28679.5,24950.6,3728.8,19978.5,3244.3,5978.7
22,1994,48197.9,4044.0,48108.5,9572.7,22445.4,19480.7,2964.7,16179.8,2787.9,4781.9
23,1993,35333.9,2998.0,35260.0,6963.8,16454.4,14188.0,2266.5,11915.7,2174.0,3528.7
24,1992,26923.5,2311.0,26937.3,5866.6,11699.5,10284.5,1415.0,9357.4,1689.0,2989.6
25,1991,21781.5,1893.0,21826.2,5342.2,9102.2,8087.1,1015.1,7337.1,1420.3,2276.9
26,1990,18667.8,1644.0,18718.3,5062.0,7717.4,6858.0,859.4,5888.4,1167.0,1570.8
27,1989,16992.3,1519.0,17000.9,4265.9,7278.0,6484.0,794.0,5448.4,812.7,1813.6
28,1988,15042.8,1366.0,15036.8,3865.4,6587.2,5777.2,810.0,4590.3,685.7,1724.8
29,1987,12058.6,1112.0,12050.6,3233.0,5251.6,4585.8,665.8,3574.0,568.3,1246.7
30,1986,10275.2,963.0,10274.4,2788.7,4492.7,3967.0,525.7,2993.8,498.8,1015.8
31,1985,9016.0,858.0,9040.7,2564.4,3866.6,3448.7,417.9,2585.0,421.7,940.7
32,1984,7208.1,695.0,7243.8,2316.1,3105.7,2789.0,316.7,1786.3,338.5,460.3
33,1983,5962.7,583.0,5985.6,1978.4,2646.2,2375.6,270.6,1338.1,274.9,271.2
34,1982,5323.4,528.0,5330.5,1777.4,2383.0,2162.3,220.7,1163.0,246.9,233.7
35,1981,4891.6,492.0,4889.5,1559.5,2255.5,2048.4,207.1,1076.6,220.7,285.2
36,1980,4545.6,463.0,4545.6,1371.6,2192.0,1996.5,195.5,982.0,213.4,241.2
37,1979,4062.6,419.0,4062.6,1270.2,1913.5,1769.7,143.8,878.9,193.7,244.9
38,1978,3645.2,381.0,3645.2,1027.5,1745.2,1607.0,138.2,872.5,182.0,286.9
39,1977,3201.9,339.0,3201.9,942.1,1509.1,1372.4,136.7,750.7,156.9,213.8
40,1976,2943.7,316.0,2943.7,967.0,1337.2,1204.6,132.6,639.5,139.6,147.2
41,1975,2997.3,327.0,2997.3,971.1,1370.5,1244.9,125.6,655.7,141.6,175.8
42,1974,2789.9,310.0,2789.9,945.2,1192.0,1083.6,108.4,652.7,126.1,206.6
43,1973,2720.9,309.0,2720.9,907.5,1173.0,1072.5,100.5,640.4,125.5,211.0
44,1972,2518.1,292.0,2518.1,827.4,1084.2,989.9,94.3,606.5,118.0,194.3
45,1971,2426.4,288.0,2426.4,826.3,1022.8,926.6,96.2,577.3,108.4,178.3
46,1970,2252.7,275.0,2252.7,793.3,912.2,828.1,84.1,547.2,100.2,178.1
47,1969,1937.9,243.0,1937.9,736.2,689.1,626.1,63.0,512.6,84.9,163.6
48,1968,1723.1,222.0,1723.1,726.3,537.3,490.3,47.0,459.5,70.5,138.9
49,1967,1773.9,235.0,1773.9,714.2,602.8,544.9,57.9,456.9,72.3,153.5
50,1966,1868.0,254.0,1868.0,702.2,709.5,648.6,60.9,456.3,85.1,148.1
51,1965,1716.1,240.0,1716.1,651.1,602.2,546.5,55.7,462.8,77.4,118.3
52,1964,1454.0,208.0,1454.0,559.0,513.5,461.1,52.4,381.5,58.4,94.0
53,1963,1233.3,181.0,1233.3,497.5,407.6,365.6,42.0,328.2,55.0,76.1
54,1962,1149.3,173.0,1149.3,453.1,359.3,325.4,33.9,336.9,57.4,80.5
55,1961,1220.0,185.0,1220.0,441.1,388.9,362.1,26.8,390.0,69.2,110.8
56,1960,1457.0,218.0,1457.0,340.7,648.2,568.2,80.0,468.1,104.0,133.1
57,1959,1439.0,216.0,1439.0,383.8,615.5,538.5,77.0,439.7,94.0,145.7
58,1958,1307.0,200.0,1307.0,445.9,483.5,414.5,69.0,377.6,71.0,136.6
59,1957,1068.0,168.0,1068.0,430.0,317.0,271.0,46.0,321.0,49.0,133.0
60,1956,1028.0,165.0,1028.0,443.9,280.7,224.7,56.0,303.4,46.0,131.4
61,1955,910.0,150.0,910.0,421.0,222.2,191.2,31.0,266.8,39.0,119.8
62,1954,859.0,144.0,859.0,392.0,211.7,184.7,27.0,255.3,38.0,120.3
63,1953,824.0,142.0,824.0,378.0,192.5,163.5,29.0,253.5,35.0,115.5
64,1952,679.0,119.0,679.0,342.9,141.8,119.8,22.0,194.3,29.0,80.3
